1-6149	腕
3-444E	裏
2-416C	剸
1-704F	嬴
1-6C43	墜
1-6832	嘟
1-607C	硝
2-2F32	扆
2-3E78	絜
1-7563	遽
1-7C30	鼴
2-6F7E	鷴
1-6229	詐
1-5950	圉
1-685E	幗
1-7B4E	鶴
1-6766	飴
2-5B53	闍
1-4F79	俐
1-574B	紙
1-6F4B	適
2-3349	陟
1-7C47	蠱
1-653D	痿
1-7029	鴉
1-6D3F	槳
1-4623	仟
1-7725	繒
1-6674	貲
1-5E65	婷
2-3543	惛
1-5567	敉
1-6429	戢
1-6A73	蝕
1-576F	般
2-3555	掎
2-286F	迍
1-4C32	剁
2-5559	靚
1-6878	摑
1-5D48	豚
1-573A	窈
1-7B33	辯
1-6452	楓
1-634E	嗥
1-7466	縷
1-7B6A	癬
1-5B48	涎
1-4A76	沃
3-404B	叠
1-7849	牘
1-7B68	疊
1-5023	冒
2-2567	呦
1-4C5B	坡
1-5B32	桿
2-253B	侄
1-6A57	臺
1-7A31	藻
1-7C21	霾
2-3975	酖
2-412E	鈦
2-6441	雝
1-6A3B	緊
2-4A30	慓
1-7B21	蘗
1-7748	蹟
1-7159	穎
1-4928	佝
1-765A	瀋
1-7A49	躂
2-3C51	椪
1-7244	諳
2-3276	衲
2-2249	扙
1-623F	趁
3-5F36	鷄
2-285A	芮
1-772D	臏
3-3D7E	粧
1-5C36	盛
2-3D2B	氰
1-6127	窗
1-7235	親
1-5B6A	涪
1-4671	由
1-502D	勇
1-5F50	換
1-785D	簷
2-4D3D	蒹
1-4625	卉
1-576A	舀
3-4646	夐
1-723F	諾
1-5764	能
1-672B	遊
1-6F69	霉
1-484F	缶
1-5C41	票
1-4D57	拌
1-514C	施
1-5F43	揉
1-635A	塭
2-2670	戔
2-3655	淥
1-4463	中
1-4E29	東
2-232C	冏
1-7734	薰
1-735E	懇
1-614B	腋
2-565E	嬡
1-6C57	幟
1-5C4A	符
1-775C	鎚
3-322D	烟
1-4C55	咎
1-6F75	餘
1-5631	殊
2-6439	闓
1-4D7A	昆
1-464B	市
1-5D65	部
1-4D73	放
3-2E63	脉
2-6B7D	耰
1-777E	鯊
1-5D30	蛋
1-4A66	汞
1-5C22	現
1-6633	葫
1-5346	苞
1-545A	哺
1-455F	丙
2-2877	邰
1-4C61	奇
2-533D	蔟
1-5972	將
1-6A2E	箏
1-6473	溴
1-6036	湛
1-5C78	莢
1-6025	殖
1-4A68	沁
1-4465	丹
1-4C3E	叔
1-6E48	罷
1-577C	茹
1-5D46	訢
2-4451	煇
1-7957	鯛
1-5A55	控
3-3064	峯
1-5364	迤
1-6B28	誤
1-7161	篤
1-6665	詭
1-6F71	颳
1-525F	眉
1-585E	釜
2-2F2B	悕
1-6939	歉
1-5E2C	備
1-7949	韜
1-5677	眩
2-596D	蕤
1-7122	機
1-6E4F	膠
1-5B7D	琊
1-6460	滓
1-6F21	誰
1-6329	黑
2-5223	獠
1-5338	苣
1-5628	桐
1-7955	鯧
1-6574	置
3-4F2B	踪
1-7921	譎
1-4E4F	泓
1-4449	士
1-5956	埤
1-732B	餡
1-5040	咽
1-4C73	姒
2-4028	衕
1-6F42	輝
1-787B	譜
1-4A65	求
1-4C5F	夜
1-5357	負
1-5070	屋
1-6E33	篁
1-6D73	皚
2-632F	蟳
1-4C6E	始
1-6730	違
1-4A47	批
2-395A	跂
1-4E23	昇
1-5D44	訟
1-5965	婢
1-5C58	細
1-744B	瞭
1-603A	湮
1-6833	嘈
1-5A70	捺
1-4E57	泱
2-354D	掂
1-5453	唐
1-5923	偏
1-7B42	顥
2-556A	餑
1-794C	願
1-4D79	昌
1-4868	衣
2-6A65	饌
1-4B6E	侍
1-5362	迭
1-4765	圬
1-7D3B	躪
1-5046	咫
1-4D3E	彼
1-5676	盎
1-4E73	玨
1-6E42	緩
1-5673	皰
2-3426	啥
1-6F68	震
1-477A	尖
1-5432	倔
1-763B	叢
1-4C60	奉
1-4527	化
1-4F61	附
1-476C	妄
1-5D27	莧
1-7936	鏑
1-5C74	莎
1-4878	伽
2-3559	据
1-4674	疋
2-4736	蜍
1-4744	列
1-4850	羊
1-5D37	被
2-433A	搥
2-6166	曚
1-4F2C	罔
1-6248	軻
1-506F	屍
1-767E	織
1-4D7C	明
1-486C	亨
1-5D5E	逞
1-763C	嚕
2-5D24	檉
1-5938	商
1-7C35	巖
2-2958	垛
1-525D	盹
1-7A6D	攜
1-635E	塋
1-6B73	骯
1-4D24	岷
1-5A30	強
15-2750	枦
1-5851	追
2-556C	餖
1-6B2A	誥
1-675F	預
1-6854	寢
1-713A	燕
2-366E	焗
1-5D56	逍
1-456C	他
1-655C	萬
1-5838	訕
1-467C	示
1-4F74	俘
1-5545	恐
1-512A	急
1-6D77	瞇
1-526C	祇
2-2165	犰
1-6463	源
1-6B31	貍
1-6B4C	酸
3-5C26	鵾
1-662F	落
1-4679	矛
1-4A72	汨
1-4757	向
1-533F	苒
1-4A2F	彤
1-4B5A	邦
1-4423	丁
1-6324	飭
1-502A	剌
2-7160	釃
1-6545	睞
1-6930	榫
2-2D2F	苾
1-5971	專
1-7169	縑
1-6C27	儉
1-7864	繳
2-6B2C	鶘
2-5C3A	鴟
1-457D	包
1-582B	蚌
2-475A	豊
1-7A3A	蠕
1-4455	川
3-2773	咏
1-477E	并
1-5D38	袒
1-757D	闈
1-5922	偷
1-6E25	稿
1-6F2B	賞
1-6E41	緞
1-642F	搽
1-6255	郾
1-7B56	齧
1-6879	摧
2-6C28	蘧
1-7A39	蠔
2-3753	眥
1-5C77	荸
1-6E22	磕
1-6F41	躺
2-3C28	揟
1-452B	卅
1-777D	魍
1-4859	肋
1-6E3A	緻
1-474E	危
1-6F5A	銷
1-6076	皖
1-4C30	刮
1-7A6A	懼
1-5433	倨
1-4B34	秀
1-7A7B	籐
2-4D47	蒻
1-622C	診
1-6228	詛
1-5D2D	蛄
1-676D	鳩
1-6B5B	閡
1-5A64	推
1-4E69	爸
1-6531	琿
2-3B58	彘
1-7459	篷
2-532E	舖
1-7345	嚎
1-6775	僖
1-612B	等
1-4B33	私
1-5237	炭
2-4239	壼
1-6C68	憂
1-6D2F	敷
1-5554	挈
1-4553	毛
1-6161	著
1-6B35	賒
1-5C24	瓠
1-4434	又
1-6569	筮
2-3D27	殽
1-776F	顎
1-6637	萼
2-3561	挻
2-7033	囓
1-6959	熔
1-4F5E	陀
1-5D36	袈
1-6839	塾
2-565B	嬗
1-6075	發
1-7A36	蘋
1-7C67	蠹
2-5F50	謅
1-4523	刈
2-2F7A	欱
1-664C	衙
1-5D5D	逕
1-5776	荐
1-5724	砥
1-576B	舐
1-6041	測
1-747D	臃
1-5661	珪
2-2470	疕
1-6274	雄
1-6A3E	綱
1-5832	衽
2-4E23	裾
1-586A	飢
1-4A35	志
2-2845	穸
1-6E77	諄
2-306D	珙
1-5361	迥
1-7B39	鐸
1-5141	拱
2-522E	璁
2-6560	櫫
1-654F	碎
1-5940	唱
2-2F51	旆
1-6F27	豌
1-722C	螞
1-665C	試
1-5755	耕
3-6141	欝
2-3527	崟
1-5F61	智
1-6136	粥
1-515A	柱
1-5065	姻
1-474B	匡
1-472C	伉
1-4662	氐
2-212D	丏
1-5641	浙
1-5774	荊
2-6F25	巘
1-617A	裁
1-485B	臣
1-6D29	撚
2-4634	羥
1-7A57	騷
1-6969	甄
1-5A41	惋
1-6328	黍
1-673B	酬
1-6073	痠
1-4C31	制
1-5A6C	掀
1-4F41	芽
1-5B64	淪
1-726D	錮
1-6D49	漿
1-7529	艱
1-6831	嘖
1-764A	擷
2-252E	阨
1-7539	螳
2-2A4C	恂
1-577E	茗
2-5F37	蟊
1-5459	唆
1-795B	鵪
1-6A76	裳
1-6567	節
1-7B5A	囊
1-4E7A	疚
1-6762	頊
1-463F	囚
2-2A3E	彖
1-643E	暇
2-382B	紺
1-567A	眨
1-6D59	潘
1-536F	陋
1-537D	乘
1-4737	仰
1-4D3B	往
1-6026	殼
1-6B75	髦
1-7C7B	鹼
2-517B	犘
1-5E76	崴
2-4B34	滎
1-7D27	蠻
1-7973	櫬
2-5E4A	縻
1-6871	撇
1-604E	焙
1-6E4E	膝
1-713D	燙
2-474E	詡
1-5D51	趾
1-5A21	崙
1-7250	踵
1-4F77	俗
1-6779	像
1-545F	唉
1-654D	睢
1-756C	鍍
1-4E2A	果
2-4646	腄
2-5825	澮
2-7146	靉
2-6C64	饘
1-486B	串
1-5A25	巢
1-5B27	晨
2-4865	頍
1-6C32	嘻
1-7878	襖
1-6542	睛
1-616C	菜
1-7367	擰
1-704D	奮
1-5460	哮
1-584F	迴
1-4C2D	刷
1-7676	竅
1-5221	洱
1-5C55	紹
2-4C6C	綣
1-673C	酪
1-4A3E	抗
1-7276	霖
2-3073	珩
1-567C	砰
2-3726	猗
1-4D6D	拘
1-6E75	諒
1-5761	胸
1-753E	螺
1-596A	寇
1-6D4E	潔
1-572C	祟
1-5463	唧
1-5E3C	厥
1-4768	夙
1-6356	塚
1-734D	壑
1-5662	珞
1-6146	耋
1-6F34	賡
1-634D	嗆
2-3C2C	揄
1-536E	限
1-5952	堅
1-6524	煖
1-7D40	鱷
1-4C6C	姐
1-6465	滇
1-4F3A	臥
1-6455	楝
2-3D6A	牋
1-656B	粱
1-4E5B	泛
1-453E	弔
1-622A	詆
1-7B43	饗
1-6A2D	箔
2-635C	貘
2-222D	奼
2-4C42	禋
2-5662	嬖
1-753D	螻
1-4F5B	長
2-2226	囡
2-6F74	鷸
1-503E	哇
1-7A32	藹
1-512D	恍
1-7064	擄
1-7A46	躉
1-5A26	常
1-5A28	帳
1-4A64	每
1-4D74	斧
1-6B79	鳶
1-4862	艮
1-5955	埠
1-5479	娠
1-5027	剃
2-217B	冱
1-4B42	芋
1-794D	顛
1-4D2E	帕
1-5152	是
1-535B	軍
1-743D	獲
1-4F7B	係
2-2D3E	苻
1-4F23	社
1-7A67	夔
1-6C21	儀
1-6C54	嶝
1-6C6F	憫
1-5A5D	措
1-7737	蟯
1-605E	琪
2-4A21	廕
1-7560	轅
1-6F22	論
2-375C	砦
1-6B60	閤
1-4774	存
1-4A37	忱
1-5E40	啼
1-444A	夕
1-4E64	炒
1-516B	柳
1-5943	啕
3-2C6D	拪
1-5C32	痍
1-6D62	牖
1-4F5A	金
1-4566	乏
2-584D	獪
1-604A	湄
1-587E	偵
1-5B36	梗
1-5167	查
1-5179	洋
1-695D	熄
2-5A58	諡
1-7A4A	醴
1-5C38	眾
1-7D25	籬
2-2832	甿
1-5456	哼
1-6F64	閭
2-2933	剉
1-6236	費
1-5744	索
2-2F23	恁
1-724A	賴
1-633A	勦
1-6D57	潤
3-663D	蕳
1-5327	胖
1-6D2E	敵
1-7A52	饒
1-4B45	角
1-6C4F	寬
1-666D	豢
1-7051	寰
1-6F52	鄧
1-475D	吒
1-4E59	治
1-6349	嗯
1-7942	鏨
2-5479	遯
1-505A	姜
1-7776	馥
3-2C5D	恒
2-683C	鯔
2-6D30	鷈
1-5563	挨
1-6422	愾
1-604D	湟
1-5660	珠
1-4D4B	怡
1-637A	愁
1-572A	祐
1-647D	煌
2-4627	綃
1-7150	瞞
2-4D70	蜒
2-6B3D	鶦
2-4E43	跽
3-4337	碁
1-7522	臀
1-6A54	腿
1-536A	酋
1-6B3B	輒
1-6852	實
2-3072	珣
1-724D	踴
1-4B5E	里
1-4B37	系
1-6124	稅
1-6E54	蔚
1-5A58	探
1-7136	燉
2-4669	葸
1-704C	壅
2-5D5C	甑
14-6924	懔
3-3F68	鈎
1-6532	瑙
1-6052	無
1-5932	匙
1-4445	千
1-4676	皮
1-5A3F	悠
1-5558	振
1-5D4C	貨
1-663B	葩
1-6326	馭
1-5F75	棣
1-5D4E	貧
1-5D23	荷
1-584C	迷
1-6F6D	鞏
1-5175	毒
2-4923	僰
1-5B40	梟
1-4536	孔
1-7479	聰
1-6A47	綬
1-7655	檯
2-3A77	媯
1-7360	懋
2-2454	沚
1-4D26	岸
1-527B	紇
1-5F23	廄
1-4B39	肖
1-4957	吟
1-4B6A	享
2-6A3F	鐙
1-627D	飧
1-615F	菱
2-583C	燊
1-7524	膽
1-452D	厄
1-5251	疥
1-636F	弒
2-5634	鴇
1-6130	答
1-5D2E	蚵
2-3557	掇
1-5779	茴
1-5F2F	愣
1-4842	汐
1-5945	啤
1-762D	鮮
1-4740	全
1-7336	鴕
1-4F46	芥
1-7C59	鱖
3-2925	抺
1-653F	痳
1-477D	帆
1-4767	圩
1-5D42	許
1-6765	飼
2-5577	駘
1-6975	睡
1-4F50	表
1-7555	購
2-322D	胺
2-4B66	熏
2-5F36	蟄
1-5E70	寐
1-6432	搜
2-5E77	薙
2-6378	醨
1-585D	釗
1-4557	爪
2-5651	圜
1-4C62	奈
2-4D37	蒺
1-4E43	注
1-6A7C	裨
1-495D	坊
1-6E5E	蔥
2-4F49	魟
1-7126	氅
1-7838	攀
1-466C	甘
1-7C4F	顯
1-457A	刊
2-2829	玡
